Título De La Obra;A.K.A;Estilo;Técnica;Zona Mab;Lugar De Intervención;URL Imagen;Descripción;
Engendro Del Pantano;Isco;Writting Y Carácter;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental;https://idartesencasa.gov.co/sites/default/files/2023-09/07_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Jaboque;Eikova;Realismo;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/04_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Los Astros Anuncian - Vida Y Cosmovisión;Sml;Muralismo;Vinilo;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/31_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Trazos De La 13;Pekate;Writing;Aerosol;Carrera 13 - Punto 3;Carrera 13 No. 20 -18;https://idartesencasa.gov.co/sites/default/files/2023-10/05_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Criemcity;Roto;Ilustración;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/7_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Eterno;Rope;Writing / Ilustración;Aerosol / Vinilo;Carrera 10 - Punto 6;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/02_CLL26_P6_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Madre Pacha Y Madre Agua, Traje De Batalla, Primavera Verano;Esneider Gamboa;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/25_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Rocker;Street Habits;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/23_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Memoria;;Muralismo;Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/21_CLL26_P1_C_MEMORIA_CRISTIAN_PAEZ_DAVID_PATARROYO.jpg;;
Poder_Femenino;Woe;Ilustración;Vinilo;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/25_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Zacer El Dorado;Zacer;Writing;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/15_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
Laborando;La Gil;Ilustración;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/05_KR7_MARATON_WEB_PRODUCCION_4_DAVID_PATARROYO.jpeg;;
La Verdadera Mujer Araña;Saintcat;Caracter;Aerosol;Carrera 7 - Tramo 3;Calle 26 Con Carrera 14 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/05_KR7_MARATON_WEB_PRODUCCION_18_ALEJANDRO_LOZANO%20Large.jpeg;;
Cocodrilo Californiano;Flk91;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 13;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR7_MARATON_WEB_PRODUCCION_17_VICTOR_CALIXTO%20Large.jpeg;;
Vista General;Varios Artistas;;;Calle 80 - Maratón Costado Sur;Corredor - Calle 80 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-12/06_CLL80%20_%20CS_CAT_FOTO_ALTA_JORGE_RAVELO.jpeg;;
Sin Título;Agria - Ram - Vinila - Sudor;Realismo - Writing - Ilustración - Writing 3D;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/15_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Coexistencia Pacífica;Mark;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental Centro;https://idartesencasa.gov.co/sites/default/files/2023-09/18_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Sin Título;Vicer;Writting;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/15_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO%20%281%29.jpeg;;
Al Caer El Sol;Pesta;Mural / Stencil;Aerosol;Carrera 13 - Punto 1;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/52_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Los Astros Anuncian;Riuk Uno;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/45_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Renacer;Joyita;Aerosol / Ilustración;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/18_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Memoria Subterranea;Keds;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/4_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Letras;Kunst;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/1_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Tiempo;Weks;Writing;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/04_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
La Dorada;Micromomentos;Ilustración;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/37_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Burning;Shaday;Ilustración;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/10_CAT_P3_SHADAYGOMEZ_VICTOR_CALIXTO.jpg;;
Pequeños Guerreros ( Sección Superior) / Scrim7  ( Sección Inferior);Blito / Scrim Uno;Caracter / Writing;Aerosol;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 -  Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR7_MARATON_WEB_PRODUCCION_6_DIEGO_ANDRADE%20Large.jpeg;;
El Mono;Ocre;Ilustración;Aerosol;Carrera 7 - Tramo 4;Calle 26 Con Carrera 10 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/05_KR7_MARATON_WEB_PRODUCCION_15_JOHN_ACHIARDI%20Large.jpeg;;
Montañas Y Urbanidad;Juan Sebastian;Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/06_KR7_MARATON_WEB_PRODUCCION_7_GARETH_SELLA%20Large%20Large.jpg;;
Vista General;Varios Artistas;;;Carrera 13 - Punto 2;;https://idartesencasa.gov.co/sites/default/files/2023-12/3_KR13_P2_CAT_PANO_FOTO_ALTA_ALEJANDRO_LOZANO.jpeg;;
Rimas Y Ritmos;Shaday;;Vinilo Acrílico Base De Agua Antideslizante;Calle 80 - Beca Hap Gran Formato;Cancha La Palestina (Colegio La Palestina) Sede B. Transversal 77 # 81 B 91;https://idartesencasa.gov.co/sites/default/files/2023-09/01_CLL80_BECA_HAP_GRAN_FORMATO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Coherencia;Rayo;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Avenida Calle 86 No. 78-20 Costado Sur Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/29_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Flora;Agua;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Carrera 86 - Diagonal 82 Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/26_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Dualidad;Kouleur;Muralismo;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/03_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Los Astros Anuncian;Keops;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/62_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg.jpg;;
Camino A La Felicidad;Lak One;Mural;Aerosol;Carrera 13 - Punto 3;Calle 18 No. 13 - 05;https://idartesencasa.gov.co/sites/default/files/2023-10/39_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Colores Salvajes;Fuck Eyes Oner;;Aerosol / Vinilo;Calle 26 - Punto 1 - Tercera Maraton;Calle 26 Con Carrera 3 - Muro 2;https://idartesencasa.gov.co/sites/default/files/2023-10/3_CLL26_CAT_P8_COLORES_SALVAJES_EYES_ONER_FOTO_A_DAVID_PATARROYO.jpg;;
Propaganda 1;Resa;Ilustración / Lettering;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/29_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Fuego En La Veintiséis;Love Letters;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/15_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
El Hada;Bily;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/12_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
RevolucióN;Insane;Tipografía;Aerosol;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/11._CLL26_P1_C_REVOLUCIO%CC%81N_INSANE_DAVID_PATARROYO.jpg;;
Protesta;Oniko;Ilustración;Aerosol Y Vinilo;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/15_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
La Corredora;May Rojas;Ilustración;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/5_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
Naturaleza Muerta Envuelta En Plástico;Zokos;Muralismo E Ilustración;Vinilo;Calle 26 - Punto 4;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/05_CLL26_P4_CAT_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Esperanza;Dars One;Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR7_MARATON_WEB_PRODUCCION_3_DAVID_PATARROYO.jpeg;;
Sin Titulo / Verde Con Sombrilla;Infecto / Hueso;Caracter;Aerosol Y Vinilo;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 - Costado Occidental Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_13_DIEGO_ANDRADE%20Large.jpeg;;
Rebeldes;Lola;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 10 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/04_KR7_MARATON_WEB_PRODUCCION_16_VICTOR_CALIXTO%20Large.jpeg;;
Sovi;Sovi;Graffiti Y Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 27 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_9_GARETH_SELLA%20Large.jpeg;;
Sin Título;Aws;Writing 3D;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/05_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Ajile;Arteaga;Muralismo;Vinilo / Aerosol;Carrera 7 - Salsa Al Parque Y Joropo Al Parque;Carrera 7;https://idartesencasa.gov.co/sites/default/files/2024-01/11%20_KR7_FEST_AL_PARQUE_CAT_BAJA_OSCAR_MARTINEZ.jpg;;
Cosechando Colores;Hilopatía;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental;https://idartesencasa.gov.co/sites/default/files/2023-09/08_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
El Jaguar De Los Vagabundos;Street Habits;Realismo;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/05_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Los Astros Anuncian;Kolera;Muralismo;Aerosol Y Vinilo;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/32_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Cybermapache;Pesta;Stencil / Ilustración;Aerosol / Vinilo;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/8_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Haz Arder Tu Corazón;De La Calle;Ilustración / Mural;Vinilo;Carrera 10 - Punto 6;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/03_CLL26_P6_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Graffiti De Lana;Trenzando Tejido;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/26_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Violeta Salvaje;Zet 1;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/24_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Beek;Beek;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/40_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
El Andar Del Barrendero;;Muralismo;Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/22_CLL26_P1_C_EL%20ANDAR%20DEL%20BARRENDERO_PAOLA%20RUIZ_DAVID_PATARROYO_tif.jpg;;
Somos De Agua, También De Tierra;Rek;Ilustración;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/27_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
El Diablito De La 80;Fode;Ilustración;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/16_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
Nascar;Yez One;Graffiti, Writing Y Aerosol;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_5_GARETH_SELLA_0.jpeg;;
Amor;Nerak;Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 3;Calle 26 Con Carrera 14 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/04_KR7_MARATON_WEB_PRODUCCION_18_ALEJANDRO_LOZANO%20Large_0.jpeg;;
Conspirar Es Respirar Juntos;Mar;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 13;https://idartesencasa.gov.co/sites/default/files/2023-11/04_KR7_MARATON_WEB_PRODUCCION_17_VICTOR_CALIXTO%20Large.jpeg;;
Vista General;Varios Artistas;;;Carrera 14 - Punto 1 - Tramo 4;;https://idartesencasa.gov.co/sites/default/files/2023-12/01_KR14_P1_DRONE_FOTO_ALTA_JORGE_RAVELO.jpeg;;
Sin Título;Rome - Shat - Prise - Yakz;Realismo Y Writing - Writing;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/16_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Los Nadie;Benz;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental Centro - Columnas;https://idartesencasa.gov.co/sites/default/files/2023-09/19_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Naki;Zavo;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte - Columnas;https://idartesencasa.gov.co/sites/default/files/2023-09/16_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Al Caer El Sol;Pesta;Mural / Stencil;Aerosol;Carrera 13 - Punto 1;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/53_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Los Astros Anuncian;Edgar Steven Peña Jimenez;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/46_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Corazón;Equiz;Mural;Vinilo;Carrera 13 - Punto 3;Carrera 13 No. 13 - 84;https://idartesencasa.gov.co/sites/default/files/2023-10/66_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Obaph;Bajo_Fog;Aerosol / Ilustración;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/19_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
La Paz Busca Ser;Shala;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/5_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Felicidad;Tony;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/2_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Sin Voz Sin Justicia;Dj Lu;Stencil;Aerosol;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/1_CLL26_P1_C_SIN_VOZ_SIN_JUSTICIA_DJLU_DAVID_PATARROYO..jpg;;
Fuego En Los Ojos;Snek;Ilustración;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/05_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
La Entrega Del Chumbe;Tangara;Muralismo E Lustración;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/38_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Recordatorio;Japu;Stencil;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/11_CAT_P3_JAPU_VICTOR_CALIXTO..jpg;;
Skull-B (Sección Superior) / Graffiti, No Para (Sección Inferior);B-One / Cam;Writing;Aerosol;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 -  Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/04_KR7_MARATON_WEB_PRODUCCION_6_DIEGO_ANDRADE%20Large_0.jpeg;;
Kieponer;Kiepush;Muralismo Y Realismo;Aerosol;Carrera 7 - Tramo 4;Calle 26 Con Carrera 10 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/06_KR7_MARATON_WEB_PRODUCCION_15_JOHN_ACHIARDI%20Large.jpeg;;
Pacho Y Chita;Tinto Tinta;Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/07_KR7_MARATON_WEB_PRODUCCION_7_GARETH_SELLA%20Large%20Large.jpg;;
Vista General;Varios Artistas;;;Carrera 13 - Punto 2;;https://idartesencasa.gov.co/sites/default/files/2023-12/4_KR13_P2_CAT_PANO_FOTO_ALTA_ALEJANDRO_LOZANO.jpeg;;
Ensamble Joropo;Arto Arte;Mosaico Y Pintura Mural;Mosaico Y Pintura;Carrera 7 - Salsa Al Parque Y Joropo Al Parque;Carrera 7;https://idartesencasa.gov.co/sites/default/files/2024-01/1%20_KR7_FEST_AL_PARQUE_CAT_BAJA_OSCAR_MARTINEZ.jpg;;
Póngase Los Temas;Robs;;Aerosol Y Vinilo;Calle 80 - Beca Hap Gran Formato;Calle 80 # 81 A 19 Dollar City;https://idartesencasa.gov.co/sites/default/files/2023-09/02_CLL80_BECA_HAP_GRAN_FORMATO_FOTO_BAJA_JORGE_RAVELO.jpg;;
Corazón De Cristal;Resonante;Muralismo;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Avenida Calle 86 No. 78-20 Costado Sur Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/30_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Fragmentos;Cisko;Writting Y Caracter;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Carrera 86 - Diagonal 82 Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/25_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Dualidad;Ratsplat;Ilustración;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/07_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Los Astros Anuncian;Samo;Stencil;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/63_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg.jpg;;
Jorge Eliécer Gaitán;Skinny;;Aerosol / Vinilo;Calle 26 - Punto 1 - Tercera Maraton;Calle 26 Con Carrera 3 - Muro 2;https://idartesencasa.gov.co/sites/default/files/2023-10/4_CLL26_CAT_P8_JORGE_ELIECER_GAITAN_SKINNY_FOTO_A_DAVID_PATARROYO.jpg;;
Fuerza, Pinkleo;Zurk, Mariaf;Ilustración / Lettering;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/30-31_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
La Bruja Deambulante;Nad;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/16_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Sin Título;Rise;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/13_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Luchar Por La Justicia;Señor;Writing;Aerosol;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/12._CLL26_P1_C_A_LUCHAR_POR_LA_JUSTICIA_SEN%CC%83OR__DAVID_PATARROYO.jpg;;
Lucha Por La Prosperidad De Nuestros Tesoros;Sefuncalavera;Ilustración;Vinilo;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/16_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
El Oso;Oper;Ilustración;Aerosol Y Vinilo;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/6_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
Semillas Libres;Dexpierte;Stencil;Mixta;Calle 26 - Punto 4;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/06_CLL26_P4_CAT_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
La Colmena;Enetres;Graffiti Y Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/04_KR7_MARATON_WEB_PRODUCCION_3_DAVID_PATARROYO.jpeg;;
Sin Título / Defumo / Malandro De Bogotawn;Cereza /Hef 90 / Zest;Caracter / Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 -  Costado Occidental Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR7_MARATON_WEB_PRODUCCION_13_DIEGO_ANDRADE%20Large.jpeg;;
Bachue;Monareta;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 10 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/05_KR7_MARATON_WEB_PRODUCCION_16_VICTOR_CALIXTO%20Large.jpeg;;
Zoes;Zoes One;Graffiti Y Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 27 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR7_MARATON_WEB_PRODUCCION_9_GARETH_SELLA%20Large.jpeg;;
