Título De La Obra;A.K.A;Estilo;Técnica;Zona Mab;Lugar De Intervención;URL Imagen;Descripción;
Eter;Aesas;Caracter;Aerosol Y Vinilo;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 - Costado Occidental Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/05_KR7_MARATON_WEB_PRODUCCION_14_DIEGO_ANDRADE%20Large.jpeg;;
Poder;Vann;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 10 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/10_KR7_MARATON_WEB_PRODUCCION_16_VICTOR_CALIXTO%20Large.jpeg;;
Vista General;Varios Artistas;;;Carrera 10 - Punto 7;Corredor - Carrera 10 - Punto 7;https://idartesencasa.gov.co/sites/default/files/2023-12/04_KR10_P7_CAT_AED_PANO_JORGE_RAVELO.jpeg;;
Sin Título;Conejo Rolo - Keds - Sents;Ilustración - Writing;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/11_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Aero Semilla;Dose;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental;https://idartesencasa.gov.co/sites/default/files/2023-09/14_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Zorro 1;Enetres;Writting Y Caracter;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/11_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Bogotá Reptil;Cos;Mural;Aerosol / Vinilo;Carrera 13 - Punto 1;Carrera 13 No. 66 - 04;https://idartesencasa.gov.co/sites/default/files/2023-10/15_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Tierra Fértil;Mugre;Ilustración;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/39_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Dolor87;Chinga;Stencil / Ilustración;Aerosol / Vinilo;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/14_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Hibiscos;Diana At;Ilustración / Mural;Aerosol / Vinilo;Carrera 10 - Punto 6;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/09_CLL26_P6_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Yerbas Mágicas Para Toda Clase De Males;Mamarracho;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/32_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Eloisa Y Sata;Sativa Bta, Eloaisaylosbichos;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/31_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Buena Mi Perro;Oma, Era, Vital, Drec, Ratone;Muralismo, Ilustración Y Writing;Aerosol Y Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/28_CLL26_P1_BUENA_MI_PERRO_C_VITAL_RATONE_ERA_DREC_OMA_DAVID_PATARROYO.jpg;;
Fuego Interior;Dela Calle;Muralismo;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/33_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Flame: Vida Y Muerte;Flame;Writing;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/06_CAT_P3_FLAME_VICTOR_CALIXTO.BTA_.jpg;;
Doggs;Victor Simbasica;Graffiti, Writing E Ilustración;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/07_KR7_MARATON_WEB_PRODUCCION_5_GARETH_SELLA.jpg;;
Cyber Cat;A.V.E;Stencil Y Muralismo;Aerosol;Carrera 7 - Tramo 4;Calle 26 Con Carrera 10 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_15_JOHN_ACHIARDI%20Large.jpeg;;
Cre-Ser;Samo;Stencil;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_7_GARETH_SELLA%20Large.jpeg;;
Vista General;Varios Artistas;;;Carrera 13 - Punto 3;;https://idartesencasa.gov.co/sites/default/files/2023-12/04_KR13_P3_PANO_FOTO_ALTA_JORGE_RAVELO.jpeg;;
Huele A Rap;Monte;;Aerosol;Calle 80 - Beca Hap Pequeño Formato;Parque Simón Bolívar;https://idartesencasa.gov.co/sites/default/files/2023-09/02_CLL80_BECA_HAP_PEQUEN%CC%83O_FORMATO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Monster;Haley;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Avenida Calle 86 No. 78-20 Costado Sur Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/25_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Raíces;Bluez;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Carrera 86 - Diagonal 82 Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/30_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Ambiente;Rager;Ilustración;Aerosol;Carrera 13 - Punto 1;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/60_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Los Astros Anuncian;Byron Lenin Cañar Ceballos;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/54_KRA13_P2_CATALOGO_FOTO_BAJA_GARETH_SELLA.jpg;;
Asuntos De Barrio;Varios;Varios Estilos;Aerosol / Vinilo;Carrera 14 - Punto 1 - Tramo 1;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/T1-02_KR14_P1_CAT_PANO_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Bang;Trak;Aerosol / Ilustración;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/25_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Raices;Akoso;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/11_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Galaxy;Astras;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/8_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Estar;Estar;Writing;Aerosol Y Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/7_CLL26_P1_C_N_A_ESTAR_DAVID_PATARROYO..jpg;;
Mi Corazón En Llamas;Nats Garu;Muralismo;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/11_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
El Disfrute De La 26;Alejaskandy;Ilustración;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/1_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
Sin Título;Sophy Tuttle;Muralismo;Mixta;Calle 26 - Punto 4;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/01_CLL26_P4_CAT_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Acab;Nina Takin;Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Con Carrera 3;https://idartesencasa.gov.co/sites/default/files/2023-11/05_KR7_MARATON_WEB_PRODUCCION_2_DAVID_PATARROYO.jpg;;
Insectoroide;Umara;Caracter;Aerosol;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 -  Costado Occidental Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_12_DIEGO_ANDRADE%20Large.jpeg;;
Inmerso;Poster;Ilustración;Aerosol;Carrera 7 - Tramo 4;Calle 26 Con Carrera 10 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/12_KR7_MARATON_WEB_PRODUCCION_15_JOHN_ACHIARDI%20Large.jpeg;;
